id,comment_text,label,clean_text,distilbert_pred,distilbert_prob,category
e82dc4b68deb4374,"Hello, Nawlins

Place the following in the large text box:

Why do you like to deflower prepubescent girls? Don’t you know that’s a felony?",0,hello nawlins place the following in the large text box why do you like to deflower prepubescent girls don t you know that s a felony,1,0.787139,
b4df7f853e9ac09d,"""

The best source and the best citation is his own words. If you read the interview Waters says """"(...) if you believe artists should be mute, emasculated, nodding dogs dangling aimlessly over the dashboard of life, you might be well advised to fuck off to the bar now (...)"""". If you like to eliminate his political views and see him """"only"""" as artist you don't have idea what are you talking about. So yes we have to follow all his political views as well.    """,0,the best source and the best citation is his own words if you read the interview waters says if you believe artists should be mute emasculated nodding dogs dangling aimlessly over the dashboard of life you might be well advised to fuck off to the bar now if you like to eliminate his political views and see him only as artist you do not have idea what are you talking about so yes we have to follow all his political views as well,1,0.906898,
5b15c183b6d7b5c7,"""

Civility

I don't think you deserve any civility, and your talk page/edit history goes a long way in showing that. You appear to be one of the worst kinds of Israelis/pro-Israel people you're even pro """"settler"""". 

So no, I'm not going to worry about """"not treating you with civility"""".   """,0,civility i do not think you deserve any civility and your talk page edit history goes a long way in showing that you appear to be one of the worst kinds of israelis pro israel people you are even pro settler so no i am not going to worry about not treating you with civility,1,0.893473,
9c50b40e44d63dc8,"""

You wrote (a few inches above) you acknowledge that the community doesn’t want “son of autoformatting”  You've also accused him (and Locke Cole) of """"backing away"""" from the code UC Bill has been working on, not to mention the COUNTLESS OTHER LINES OF BULLSHIT YOU'VE SPOUTED THAT YOU KNOW TO BE INTENTIONALLY FALSE because you're hoping that it'll confuse people.  You should be PERMANENTLY BANNED from Wikipedia.  You're a useless drain on this project that does nothing but obstruct the work of other people.  Get bent, WP:DICK.  (Go ahead and report me, and to whatever admin Greg drags into this, feel free to block me all you want, I'm going to be offline for a while anyway so I don't care.)""",0,you wrote a few inches above you acknowledge that the community doesn t want son of autoformatting you have also accused him and locke cole of backing away from the code uc bill has been working on not to mention the countless other lines of bullshit you have spouted that you know to be intentionally false because you are hoping that it will confuse people you should be permanently banned from wikipedia you are a useless drain on this project that does nothing but obstruct the work of other people get bent wp dick go ahead and report me and to whatever admin greg drags into this feel free to block me all you want i am going to be offline for a while anyway so i do not care,1,0.991672,
1e4c0138733ed627,"Really? Even when it's so obvious? Fine. I hope you yourself know in your head and heart that you are a massive SRK troll. Reducing figures of his movies, spewing venom for me all over Wiki and to my shock Horror! NOT you followed my contributions to the Screen Awards Best actress popular choice which I edited just now. Man who are we kidding here? Accept you are a diehard hater of SRK. BTW I also asked if you are a Sallu Bhaijaan stan or not. Congrats on the failure of PRDP if you are a Sallu fan ) ;)",0,really even when it is so obvious fine i hope you yourself know in your head and heart that you are a massive srk troll reducing figures of his movies spewing venom for me all over wiki and to my shock horror not you followed my contributions to the screen awards best actress popular choice which i edited just now man who are we kidding here accept you are a diehard hater of srk btw i also asked if you are a sallu bhaijaan stan or not congrats on the failure of prdp if you are a sallu fan,1,0.900418,
9ba005932e31e609,"""

did you just call me """"stupid"""". I cannot believe this. You block people for personal attacks and then you just come at them.  THis is totally relevant.   JohnHistory""",0,did you just call me stupid i cannot believe this you block people for personal attacks and then you just come at them this is totally relevant johnhistory,1,0.992016,
2e87b0fc96aabc18,"Well it's not my fault Soap Opera Central doesn't have up-to-date information! But I do! And Wikipedia policies suck! I hope you realize that! You do realize that the majority of pages are completely wrong anyways! If Soap Opera Central is your only reliable source, then find another source because they are wrong alot of the time!",0,well it is not my fault soap opera central does not have up to date information but i do and wikipedia policies suck i hope you realize that you do realize that the majority of pages are completely wrong anyways if soap opera central is your only reliable source then find another source because they are wrong alot of the time,1,0.991065,
81d9caad4278a19e,"""

Alright...you busted me, I tried to be nice to you. Let's admit what really happened. ALbanians got fed up with the slow indepedence process and decided, """"What the heck, let's just kill them all now"""" and attemptedto ethnically cleanse Kosovo of Serbs and other minorities. (Un)Fortunately, more Albanians wound up dead than Serbs. Blame KFOR, not us. Anyways, non-existant? I guess it was just school teachers and babysitters who went insane on Serbs in 2004, and have been attacking them ever since and well before. Yes, that would explain it. Anyways, didn't the so called KLA become Kosovo's new """"defenders"""" (or murders)? Aren't they controlled by the government? Wouldn't it be right assume that what they do what is handed down as an order by the Kosovo government? Funny, who else does all of Kosovo's drug dealing, and human trafficking? The UN? Sleep on it, maybe you'll have a vision of dead Serbs again.:)))) """,0,alright you busted me i tried to be nice to you let is admit what really happened albanians got fed up with the slow indepedence process and decided what the heck let is just kill them all now and attemptedto ethnically cleanse kosovo of serbs and other minorities un fortunately more albanians wound up dead than serbs blame kfor not us anyways non existant i guess it was just school teachers and babysitters who went insane on serbs in 2004 and have been attacking them ever since and well before yes that would explain it anyways did not the so called kla become kosovo is new defenders or murders are not they controlled by the government would not it be right assume that what they do what is handed down as an order by the kosovo government funny who else does all of kosovo is drug dealing and human trafficking the un sleep on it maybe you will have a vision of dead serbs again,1,0.931574,
582296cccee51531,"""

 Why? 

Why do you feel the need to be punks and constantly mess with my edits? You don't give time for me to add references, you claim it has unreliable information, yet when trey posted the EXACT SAME information, it was ok. whatever it is you have against me, you need to get over it. I WILL continue to edit this article and keep it clean, I WILL continue to keep the useful information in this article despite if you think it's """"trivial"""" or not. it IS information that is about the WDW monorail and it DOES belong in this article.  """,0,why why do you feel the need to be punks and constantly mess with my edits you do not give time for me to add references you claim it has unreliable information yet when trey posted the exact same information it was ok whatever it is you have against me you need to get over it i will continue to edit this article and keep it clean i will continue to keep the useful information in this article despite if you think it is trivial or not it is information that is about the wdw monorail and it does belong in this article,1,0.741441,
d6bc926b8013379f,"Ah! The hypocrisy is absolutely amazing. Just so your wondering Bozo, I didn't even care about the Redboy article in itself. I cared about Schuminwebs unbelievable callousness, lack of good faith and down right rudeness in dealing with me. He says on his userpage that he is an inclusionist, yet he does this. The article at the time had a hangon tag - he deleted it before even giving me a chance to type into the talk page my defense of the article.

His problem is a very vague understanding of notability. Redboy has an oceon of literature surrounding it, it has even been linked to the childhood bogeyman. However, I didn't get a chance to defend this aspect in the article, because he deleted it before I got the chance, and then had the cheek to accuse me of vandalism!

What has happened since is that he has ignored every compaint I brought to him. So, I decided to focus on his round exterior.

And please Schumin, keep this comment here. People deserve to know the truth. You have been slandering me like you have above for too long. 86.45.196.119",0,ah the hypocrisy is absolutely amazing just so your wondering bozo i did not even care about the redboy article in itself i cared about schuminwebs unbelievable callousness lack of good faith and down right rudeness in dealing with me he says on his userpage that he is an inclusionist yet he does this the article at the time had a hangon tag he deleted it before even giving me a chance to type into the talk page my defense of the article his problem is a very vague understanding of notability redboy has an oceon of literature surrounding it it has even been linked to the childhood bogeyman however i did not get a chance to defend this aspect in the article because he deleted it before i got the chance and then had the cheek to accuse me of vandalism what has happened since is that he has ignored every compaint i brought to him so i decided to focus on his round exterior and please schumin keep this comment here people deserve to know the truth you have been slandering me like you have above for too long 86 45 196 119,1,0.514314,
5a112951ddac6f33,"Chaser fancies himself the Rush Limbaugh of this site and Sukecchi is a professional, though sensitive, victim.",0,chaser fancies himself the rush limbaugh of this site and sukecchi is a professional though sensitive victim,1,0.959991,
281bc110e553543a,"""

 It's hardly libel, nor is it revenge. I don't even recall a google cache that you got deleted. (Please provide the ref to satisfy my curiosity.) No, this is about circumventing a topic ban by creating a sock. That's all. I happen to hate sockpuppetry and fight it when I see it. You aren't the only one. I often go after socks and hunt them down and make sure they get what they deserve. It's not about admins or not. It really makes no difference. You screwed up royally by using a sock. Your defenses here have only dug your hole deeper by showing you don't understand the seriousness of that offense, and of the reasons for your topic ban. You keep blaming others instead of seeking to understand and promise to reform. I have seen many a blocked editor succeed in getting their block overturned at the last minute by showing they had the ability to learn from their mistakes, take full responsibility for their own actions and the consequences that followed, and show promise that they could develop a positive learning curve. You have flunked on all counts. Too bad. BTW, an indef ban isn't lifelong, IF you avail yourself of the offer proferred above.

 BTW, you have now attempt to get you block overturned three times. I don't recall ever seeing a fourth attempt succeed. Usually it is seen as evidence of WP:IDIDNTHEARHAT and the block then applied to the talk page. Also, if you keep arguing in the manner in which you have been, the result can be the same. You ONLY hope is to show complete contrition and a very clear explanation of exactly what you did wrong and how you regret it and will do better. Nothing less will do. A single word more of blaming others and your goose is cooked. (Well, it's already """"cooked"""", but it won't get """"uncooked"""" if you persist.)    """,0,it is hardly libel nor is it revenge i do not even recall a google cache that you got deleted please provide the ref to satisfy my curiosity no this is about circumventing a topic ban by creating a sock that is all i happen to hate sockpuppetry and fight it when i see it you are not the only one i often go after socks and hunt them down and make sure they get what they deserve it is not about admins or not it really makes no difference you screwed up royally by using a sock your defenses here have only dug your hole deeper by showing you do not understand the seriousness of that offense and of the reasons for your topic ban you keep blaming others instead of seeking to understand and promise to reform i have seen many a blocked editor succeed in getting their block overturned at the last minute by showing they had the ability to learn from their mistakes take full responsibility for their own actions and the consequences that followed and show promise that they could develop a positive learning curve you have flunked on all counts too bad btw an indef ban is not lifelong if you avail yourself of the offer proferred above btw you have now attempt to get you block overturned three times i do not recall ever seeing a fourth attempt succeed usually it is seen as evidence of wp ididnthearhat and the block then applied to the talk page also if you keep arguing in the manner in which you have been the result can be the same you only hope is to show complete contrition and a very clear explanation of exactly what you did wrong and how you regret it and will do better nothing less will do a single word more of blaming others and your goose is cooked well it is already cooked but it will not get uncooked if you persist,1,0.877618,
fc444210fc095deb,Ramsquire did you read his transcripts? He's as much a racist as the Grand Wizard of the Ku Klux Klan!,0,ramsquire did you read his transcripts he is as much a racist as the grand wizard of the ku klux klan,1,0.982986,
bdb0f325cdf5ac43,"What the hell
Nobody complained until you came and started destorying my page. Whats wrong with you????",0,what the hell nobody complained until you came and started destorying my page whats wrong with you,1,0.794369,
59f06782ce14f3bc,"So, making false accusation of vandalism, deliberately inserting false information into articles, reverting for no reason and harassment is just fine, no need for even so much as a warning.  Meanwhile removing false information from articles merits a block.  What a fucked up place this is.  Well, see you on the next IP shortly!  You will not win this battle.  You will not prevent me from improving articles.  You will not be able to keep wind wave or any of the articles I've improved in a deficient state.  So why even try?  190.161.186.94",0,so making false accusation of vandalism deliberately inserting false information into articles reverting for no reason and harassment is just fine no need for even so much as a warning meanwhile removing false information from articles merits a block what a fucked up place this is well see you on the next ip shortly you will not win this battle you will not prevent me from improving articles you will not be able to keep wind wave or any of the articles i have improved in a deficient state so why even try 190 161 186 94,1,0.993576,
ac642a7e322abf0d,"""
Dougweller, Nice try at helping SamEV, but, NO WAY! We're not severs in a restaurant here. (At least, I'm not!) And, I do not care for your awkward approach, to defend SamEV, with a ludicrous article brimming with restaurant servers' vernacular! The slang, that servers use in restaurants, is not acceptable (or used) in everyday English. Sorry! No dice, Dougie! Your going to have to do better than a sever's """"testimony""""! Hall of Shame on you, for this one! -)""",0,dougweller nice try at helping samev but no way we are not severs in a restaurant here at least i am not and i do not care for your awkward approach to defend samev with a ludicrous article brimming with restaurant servers vernacular the slang that servers use in restaurants is not acceptable or used in everyday english sorry no dice dougie your going to have to do better than a sever is testimony hall of shame on you for this one,1,0.739079,
5ea1bbb32429da12,"Gay??? 

Is there a source for the story of him being gay?  79.204.110.196",0,gay is there a source for the story of him being gay 79 204 110 196,1,0.998883,
2f5add3ff3b7a79d,His edit summary called me a weirdo.,0,his edit summary called me a weirdo,1,0.918422,
3088bf20bdacda12,"well then don't 

undo other people's edits when you clearly don't know what you're talking about! you made a right cunt of that one mate!",0,well then do not undo other people is edits when you clearly do not know what you are talking about you made a right cunt of that one mate,1,0.999281,
cc02fb09a0087b93,"Beefcake Vandalism Barnstar 

zT:oOMGnM suk 3lee3 8allz.",0,beefcake vandalism barnstar zt oomgnm suk 3lee3 8allz,1,0.649473,
d1fec08e5c1bcd2d,"""Of course I expect you all to now """"track"""" all my edits and harass me in a very ungentlemanly way, it is to be expected that you will now all attempt to drive me out of Wikipedia, it is the way you people work. Shame.  """,0,of course i expect you all to now track all my edits and harass me in a very ungentlemanly way it is to be expected that you will now all attempt to drive me out of wikipedia it is the way you people work shame,1,0.983142,
1df78d22dece0198,"RE: Pygmy Guru 

I'm not asking for your support. I'm expressing my general dismay in finding my article deleted. All the time and thought put into that article was wasted. Wikipedia is the collaboration of minds and people, to create a digital encyclopedia where simple folk like myself can visit and retrieve information.
And my information was lynched, hung, and stoned to death by none other than Sam Blacketer.

You are the pretentious, bloated Hitler of Wikipedia.

Have a jolly day.",0,re pygmy guru i am not asking for your support i am expressing my general dismay in finding my article deleted all the time and thought put into that article was wasted wikipedia is the collaboration of minds and people to create a digital encyclopedia where simple folk like myself can visit and retrieve information and my information was lynched hung and stoned to death by none other than sam blacketer you are the pretentious bloated hitler of wikipedia have a jolly day,1,0.988241,
08f3cc32e4404699,Are you a paid PR & small time editor of these fake women LOL who potray false info on Wikipedia misleading people! Going by your name you sound japanese! So what do you know about lakshmi manchu? She was born in Modugulapalem in chittoor on October-8th-1970 married twice! Just go research your facts first and make an effort to publish some true facts instead of deleting the truth. How pitiful! Also it is not allowed to hVd wiki pages without DOB so go find your facts first Yamaguchi or whoever u are!,0,are you a paid pr small time editor of these fake women lol who potray false info on wikipedia misleading people going by your name you sound japanese so what do you know about lakshmi manchu she was born in modugulapalem in chittoor on october 8th 1970 married twice just go research your facts first and make an effort to publish some true facts instead of deleting the truth how pitiful also it is not allowed to hvd wiki pages without dob so go find your facts first yamaguchi or whoever u are,1,0.974782,
8b7b85e54dadb63e,"Dan. To adopt your analogy, Ed Johnston is the systems manager guy in the wikioffice, with seniority, wide knowledge of the way it best functions, and a demonstrated capacity for making judgements all sides accept as neutral, and he's telling a less experienced wikipedian how this peculiar society works.  Most serious, professional writers, scholars and thinkers find this place exasperating and refuse to help out. Some just learn to bite the bullet, wear the bullshit, adapt to suppressing the 'Ah, you fucken dopey arsehole' sort of thought that passes one's article-parsing mind from hour to hour, and write instead, 'you're mistaken' or even 'you screwed up'. Of course there are lots of ignoramuses and liars here, like everywhere in the world and in every sphere of activity. Here, the rule is, if you want to lie or push a POV against the evidence, as long as you stick to the AGF rules, you can enjoy longevity while enjoying exhibitions of suicide by people who call you out. That looks outrageous, at first glance, but without it, tens of thousands of quite good quality articles on difficult and controversial topics would never have been written. Anthropologists, when studying a tribe in field research, understand that they must adapt, provisorily, to the rules of the tribe: back in their professorial armchair, a different discourse obtains which, were it thrown the tribe's way would (a) only be offensive (b) obstruct the acquisition of a tribe's ethnography and (c) ultimately, be detrimental to the tribe itself, which down the line may well need that expert's return to assist it in adapting in turn to a larger world outside of its own mental confines. Best",0,dan to adopt your analogy ed johnston is the systems manager guy in the wikioffice with seniority wide knowledge of the way it best functions and a demonstrated capacity for making judgements all sides accept as neutral and he is telling a less experienced wikipedian how this peculiar society works most serious professional writers scholars and thinkers find this place exasperating and refuse to help out some just learn to bite the bullet wear the bullshit adapt to suppressing the ah you fucken dopey arsehole sort of thought that passes one is article parsing mind from hour to hour and write instead you are mistaken or even you screwed up of course there are lots of ignoramuses and liars here like everywhere in the world and in every sphere of activity here the rule is if you want to lie or push a pov against the evidence as long as you stick to the agf rules you can enjoy longevity while enjoying exhibitions of suicide by people who call you out that looks outrageous at first glance but without it tens of thousands of quite good quality articles on difficult and controversial topics would never have been written anthropologists when studying a tribe in field research understand that they must adapt provisorily to the rules of the tribe back in their professorial armchair a different discourse obtains which were it thrown the tribe is way would a only be offensive b obstruct the acquisition of a tribe is ethnography and c ultimately be detrimental to the tribe itself which down the line may well need that expert is return to assist it in adapting in turn to a larger world outside of its own mental confines best,1,0.992715,
